Date,stock_mkt,RF,trend,trend_gate,exposure,strategy_return,trend_only_return,buy_hold_return
1974-01-08,-0.0174,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0174
1974-01-09,-0.027,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.027
1974-01-10,-0.0104,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0104
1974-01-11,0.0118999999999999,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0118999999999999
1974-01-14,-0.0011,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0011
1974-01-15,0.0078,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0078
1974-01-16,0.0146,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0146
1974-01-17,0.0169,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0169
1974-01-18,-0.0152,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0152
1974-01-21,-0.0024,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0024
1974-01-22,0.0101,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0101
1974-01-23,0.0052,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0052
1974-01-24,-0.0022,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0022
1974-01-25,-0.0008,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0008
1974-01-28,-0.0046999999999999,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0046999999999999
1974-01-29,-0.0013,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0013
1974-01-30,0.0105,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0105
1974-01-31,-0.0042,0.0003,-0.012414949644302665,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0042
1974-02-01,-0.012,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.012
1974-02-04,-0.0192999999999999,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0192999999999999
1974-02-05,-0.0037,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0037
1974-02-06,0.0031999999999999,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0031999999999999
1974-02-07,0.0015,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0015
1974-02-08,-0.0092,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0092
1974-02-11,-0.0173,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0173
1974-02-12,0.0007,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0007
1974-02-13,-0.0001,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0001
1974-02-14,0.0001999999999999,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0001999999999999
1974-02-15,0.0133,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0133
1974-02-19,-0.001,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.001
1974-02-20,0.0127,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0127
1974-02-21,0.0127,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0127
1974-02-22,0.0084,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0084
1974-02-25,-0.0023,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0023
1974-02-26,0.0101,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0101
1974-02-27,0.0052,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0052
1974-02-28,-0.0011,0.0003,-0.011063058600640496,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0011
1974-03-01,-0.0058,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0058
1974-03-04,0.0004,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0004
1974-03-05,0.0179,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0179
1974-03-06,0.0059,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0059
1974-03-07,-0.0090999999999999,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0090999999999999
1974-03-08,0.0078,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0078
1974-03-11,0.0104,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0104
1974-03-12,0.0021,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0021
1974-03-13,0.0058,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0058
1974-03-14,0.0007,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0007
1974-03-15,-0.0026,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0026
1974-03-18,-0.0126,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0126
1974-03-19,-0.0081,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0081
1974-03-20,0.0029,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0029
1974-03-21,-0.002,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.002
1974-03-22,-0.0008,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0008
1974-03-25,0.0022,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0022
1974-03-26,0.0024,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0024
1974-03-27,-0.0132,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0132
1974-03-28,-0.0182,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0182
1974-03-29,-0.0078,0.0003,-0.005863009385202666,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0078
1974-04-01,-0.0075,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0075
1974-04-02,0.0003,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,0.0003
1974-04-03,0.0085,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,0.0085
1974-04-04,-0.0003,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0003
1974-04-05,-0.0134999999999999,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0134999999999999
1974-04-08,-0.01,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.01
1974-04-09,0.0053,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,0.0053
1974-04-10,-0.0017,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0017
1974-04-11,-0.0023,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0023
1974-04-15,-0.0013,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0013
1974-04-16,0.016,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,0.016
1974-04-17,0.0071,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,0.0071
1974-04-18,0.0038999999999999,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,0.0038999999999999
1974-04-19,-0.0101,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0101
1974-04-22,-0.0037,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0037
1974-04-23,-0.0179,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0179
1974-04-24,-0.0169,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0169
1974-04-25,-0.0092,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0092
1974-04-26,0.0060999999999999,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,0.0060999999999999
1974-04-29,-0.0004,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,-0.0004
1974-04-30,0.003,0.0004,-0.005561753377624245,0.0,0.0,0.00038412698412698416,0.00038412698412698416,0.003
1974-05-01,0.0197999999999999,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0197999999999999
1974-05-02,-0.0007,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0007
1974-05-03,-0.0081,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0081
1974-05-06,-0.0013,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0013
1974-05-07,0.0021,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0021
1974-05-08,0.0,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0
1974-05-09,0.011,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.011
1974-05-10,-0.016,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.016
1974-05-13,-0.0093,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0093
1974-05-14,0.0,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0
1974-05-15,-0.0021,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0021
1974-05-16,-0.0063,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0063
1974-05-17,-0.0176,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0176
1974-05-20,-0.0045,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0045
1974-05-21,0.0,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0
1974-05-22,-0.0097,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0097
1974-05-23,0.0004,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0004
1974-05-24,0.0155,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0155
1974-05-28,-0.0022,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0022
1974-05-29,-0.0159,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0159
1974-05-30,0.0057,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0057
1974-05-31,-0.0011,0.0003,-0.008878965170941399,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0011
1974-06-03,0.0189,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0189
1974-06-04,0.0125,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0125
1974-06-05,0.003,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.003
1974-06-06,0.0173,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0173
1974-06-07,0.0068,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0068
1974-06-10,0.0058,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0058
1974-06-11,-0.0081999999999999,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0081999999999999
1974-06-12,-0.0034999999999999,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0034999999999999
1974-06-13,0.0024,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0024
1974-06-14,-0.01,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.01
1974-06-17,-0.0133,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0133
1974-06-18,-0.0065999999999999,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0065999999999999
1974-06-19,-0.0072,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0072
1974-06-20,-0.008,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.008
1974-06-21,-0.0093,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0093
1974-06-24,0.001,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.001
1974-06-25,0.0129,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,0.0129
1974-06-26,-0.0154,0.0003,-0.018587051347513338,0.0,0.0,0.0002841269841269841,0.0002841269841269841,-0.0154
